square,ssquare,townumber,lat1,lon1,lat2,lon2,vid
225,2,51,622700,252937,622459,253315,78
225,3,61,621450,254480,621170,254690,78
270,2,61,625700,201090,625850,200810,78
272,2,51,630112,221322,630051,221971,78
273,1,51,625995,234522,625758,234931,78
274,2,51,625115,240780,625046,241420,78
274,2,52,625270,235830,625160,240450,78
274,3,53,624092,243346,623948,243900,78
274,1,61,624740,244860,624490,245220,78
274,3,62,624100,245870,623850,250150,78
274,2,63,625080,242440,624980,243140,78
275,2,52,625140,251090,625330,250590,78
275,4,61,623390,251130,623130,251500,78
311,1,71,632875,114124,632592,114327,78
312,1,1,631954,125978,632253,130040,78
312,3,51,630040,124870,630340,125290,78
312,1,61,632648,124495,632910,124170,78
312,4,71,630990,121290,630768,121717,78
313,4,1,631070,130000,631356,130198,78
313,4,21,631270,131530,631570,131511,78
315,1,51,632666,155034,632547,155583,78
316,2,11,632504,161854,632503,161174,77
316,1,61,631770,164770,631680,165350,78
317,2,1,631488,173056,631583,172410,77
317,3,61,631050,174610,630980,175260,78
317,3,62,631742,170536,631655,171168,78
318,1,1,632078,185100,632190,184468,77
318,3,51,631330,183520,631300,182820,78
318,4,61,631040,180240,631100,180880,78
319,2,1,632164,192630,632016,192036,77
319,2,11,632026,190946,632105,191604,77
319,3,61,631436,195595,631139,195611,78
319,1,62,631580,195020,631440,195610,78
320,2,2,631622,200909,631899,200659,77
320,3,11,631538,210175,631453,205537,77
320,3,51,630592,204026,630410,204555,78
320,4,61,630660,202610,630670,203270,78
320,4,62,630730,200980,630500,201400,78
321,2,3,632222,211018,631924,211022,77
321,2,4,632666,212664,632381,212837,77
321,3,51,630740,215640,630600,220230,78
322,2,2,632910,220890,632898,221569,77
322,4,11,630426,221759,630555,221153,77
322,3,61,630750,224590,631010,224940,78
322,4,62,630200,223370,630270,224020,78
323,2,2,632048,230818,632354,230804,77
323,1,12,631370,240450,631530,235890,77
323,4,51,631000,232420,630800,232940,78
323,3,61,630280,234480,630120,235020,78
324,4,2,630230,242150,630090,242750,77
324,3,12,630975,245925,630873,245070,77
324,4,51,630700,241840,630920,241410,78
324,2,52,632040,241920,632200,241400,78
324,4,61,630120,242540,630160,241900,78
325,1,11,632279,254391,632481,254900,77
325,1,51,632710,253670,632430,253430,78
325,4,52,630470,250410,630310,245920,78
325,4,53,625940,251080,630060,251610,78
325,4,54,630520,252500,630690,252860,78
326,4,1,631330,260260,631140,255800,78
326,3,2,630571,265265,630871,265248,78
326,4,3,630711,262966,630413,262890,78
326,2,51,632720,261640,632980,261750,78
359,1,1,640070,93990,635790,93710,78
360,2,1,635780,101320,635788,102003,78
361,1,1,635650,113159,635921,112866,78
361,2,71,635499,112033,635752,111666,78
361,1,72,635508,115084,635212,115166,78
362,1,1,634862,124075,634565,123982,78
362,1,51,635230,122420,634950,122690,78
362,2,52,634720,121500,634460,121900,78
362,3,61,633950,124090,634250,124140,78
362,1,63,635300,123800,635450,123200,78
363,4,1,634194,131927,634492,131857,78
363,4,2,633893,132302,633605,132425,78
363,2,4,635460,130222,635760,130243,78
363,1,11,635488,134467,635655,133891,77
363,2,51,634870,131110,635100,131500,78
363,1,61,635303,134715,635046,135070,78
363,2,62,635770,125450,635470,125300,78
364,3,2,634435,144325,634166,144014,77
364,4,51,634640,141100,634470,141670,78
364,4,52,634295,142233,634101,142756,78
365,4,1,633400,151815,633403,151132,77
365,4,11,633980,150781,633996,151456,77
365,4,51,633300,150840,633190,151450,78
366,2,1,634470,162226,634767,162393,77
366,1,2,634571,163242,634455,162630,77
367,4,11,633022,171630,633208,171097,77
371,4,31,634150,213195,634161,212513,77
372,1,2,635340,225520,635645,225512,77
372,4,12,634485,222076,634483,221390,77
373,2,3,635900,231760,635890,232466,77
373,1,12,634800,233780,635003,234267,77
374,2,2,635030,241800,635297,241468,77
374,2,3,635440,241496,635713,241155,77
375,2,1,635890,251350,635605,251590,77
375,3,1,633400,255888,633100,255896,78
375,1,11,635119,253760,635020,254400,77
376,2,1,635370,262130,635240,262750,77
376,4,2,634410,262762,634702,262914,78
376,1,3,635427,265854,635702,265581,78
376,4,51,633960,260990,634140,261240,78
377,2,2,635432,270511,635132,270518,78
409,3,1,640131,95059,640321,95590,78
409,3,2,641270,93850,640976,93990,78
411,2,1,641487,110779,641712,110323,78
411,4,2,640906,111800,641174,111489,78
411,1,71,641790,113930,641520,114260,78
412,1,1,642038,124915,642097,125594,78
412,4,2,641597,122148,641299,122221,78
412,3,3,640898,125330,641107,124828,77
412,3,3,640680,123377,640395,123588,78
412,3,51,640930,123750,641190,124120,78
412,3,61,640154,124857,640420,124577,78
413,4,2,640132,132089,640138,131419,77
